sequence_id,start_time,end_time,num_stops,user_name,test_name,part_number,stage_serial
1,2025-07-02 11:49:26,2025-07-02 11:49:26,1,bmowry,Accuracy,PLANARDLA,431985-01
2,2025-08-27 11:53:17,2025-08-27 11:53:17,1,bmowry,Accuracy,Wafermax Z,464035-01
3,2025-08-27 09:43:48,2025-08-27 09:43:48,1,bmowry,Accuracy,Wafermax Z,464035-02
4,2025-09-24 14:56:38,2025-09-24 14:56:38,1,dyounge,Accuracy,PRO190LM-0300,494763-01
5,2025-04-08 15:18:29,2025-04-08 15:22:42,2,gschliffka,Accuracy,ES19347-01 (AGS10000),495566-01
6,2025-06-19 09:36:32,2025-06-19 09:36:32,1,atempalski,Accuracy,ES16890-66,506100-01
7,2025-04-15 13:57:29,2025-04-15 14:55:17,2,mtrozzi,Accuracy,ES19347-1 (AGS10000),508843-01
8,2025-06-27 10:04:22,2025-06-27 10:04:22,1,cdelsignore,Accuracy,AGS10000-ES19347-01,508872-01
9,2025-06-29 15:02:48,2025-06-29 15:32:12,3,mtrozzi,Accuracy,ES19347-1,508875-01
10,2025-06-29 08:49:13,2025-06-29 08:49:13,1,mlegler,Accuracy,PRO225LM-0536-ES19347-01,508876-01
11,2025-06-11 08:06:50,2025-06-11 12:52:48,9,gschliffka,Accuracy,ABL1000-025-E2,510655-01
12,2025-05-12 11:06:44,2025-05-12 11:06:44,1,atempalski,Accuracy,ANT95L-075-ES20094,510680-01
13,2025-06-04 08:37:12,2025-06-04 14:27:27,2,ruhric,Accuracy,PRO115SL-300-3-LI1-UF,512192-01-01
14,2025-06-05 09:50:56,2025-06-05 12:55:52,5,ruhric,Accuracy,PRO115SL-300-3-LI1-UF,512192-02-01
15,2025-06-09 08:44:36,2025-06-09 11:00:37,4,ruhric,Accuracy,PRO165SL-300-3-LI1-UF,512199-01-01
16,2025-06-09 12:49:48,2025-06-09 13:12:03,6,ruhric,Accuracy,PRO165SL-300-3-LI1-UF,512199-02-01
17,2025-06-09 14:59:40,2025-06-09 14:59:40,1,ruhric,Accuracy,PRO165SL-300-3-LI1-UF,512199-03-01
18,2025-05-28 11:09:00,2025-05-28 11:09:00,1,atempalski,Accuracy,PRO165LM-0300-ES17293-2,513072-04
19,2025-05-22 08:01:55,2025-05-22 08:01:55,1,atempalski,Accuracy,PRO165LM-0300-ES17293-1,513079-01
20,2025-08-19 14:10:47,2025-08-19 14:10:47,1,dyounge,Accuracy,PlanarHD-500-500-ES20058,514270-01
21,2025-08-20 09:20:58,2025-08-28 09:26:29,15,dyounge,Accuracy,PlanarHD-500-500-ES20058,514870-01
22,2025-07-01 09:43:55,2025-07-01 10:38:39,6,ajung,Accuracy,ABL1000WB-150-E2,515768-01
23,2025-07-01 12:54:03,2025-07-01 13:27:51,3,ajung,Accuracy,ABL1000-100-E2,515769-01
24,2025-07-02 11:14:35,2025-07-02 13:31:57,15,ajung,Accuracy,ANT130LZS,515770-01
25,2025-06-13 12:17:03,2025-06-13 12:17:03,1,nguy,Accuracy,ABL1500-100,516834-01
26,2025-05-14 09:49:13,2025-05-14 09:49:13,1,bmowry,Accuracy,HEX150-125HL Strut,517061-01
27,2025-05-14 10:34:26,2025-05-15 11:32:43,2,bmowry,Accuracy,HEX150-125HL Strut,517061-02
28,2025-05-14 13:54:13,2025-05-14 13:54:13,1,bmowry,Accuracy,HEX150-125HL Strut,517061-04
29,2025-06-12 08:23:48,2025-06-12 08:55:02,15,mdepaoli,Accuracy,MPS75SL,518166-01
30,2025-06-12 09:50:34,2025-06-12 09:50:34,1,mdepaoli,Accuracy,MPS75SL,518166-03
31,2025-06-23 12:06:25,2025-06-23 12:06:25,1,ddeighan,Accuracy,MPS75SL-025-ES18998,518176-01
32,2025-06-23 10:10:36,2025-06-23 10:10:36,1,ddeighan,Accuracy,MPS75SL-025-ES18998,518176-03
33,2025-07-23 17:11:10,2025-07-23 17:11:10,1,bmowry,Accuracy,ABL1500WB,518262-01
34,2025-07-24 13:22:09,2025-07-24 13:25:39,2,bmowry,Accuracy,ABL1500Z-050-E3,518267-01
