user_name,test_name,test_datetime,part_number,stage_serial
gschliffka,Accuracy,2025-04-08 15:18:29,ES19347-01 (AGS10000),495566-01
gschliffka,Accuracy,2025-04-08 15:22:42,ES19347-01 (AGS10000),495566-01
cdelsignore,SixDegree,2025-04-15 11:01:02,ANT130L-035-E1,510865-01
mtrozzi,Accuracy,2025-04-15 13:57:29,ES19347-1 (AGS10000),508843-01
mtrozzi,Accuracy,2025-04-15 14:55:17,ES19347-1 (AGS10000),508843-01
cdelsignore,SixDegree,2025-04-16 15:21:15,ANT130LZ-060-E1,513951-04
cdelsignore,SixDegree,2025-04-16 15:22:35,ANT130LZ-060-E1,513951-04
cdelsignore,SixDegree,2025-04-24 11:06:56,ANT95LZ-025-E1,486721-01
cdelsignore,SixDegree,2025-05-02 11:10:43,PRO225LM-0500-E1,512627-01
cdelsignore,SixDegree,2025-05-05 08:18:09,PRO190LM--0500-E1,512641-01
cdelsignore,SixDegree,2025-05-05 11:02:59,PRO190LM--0500-E1,512641-01
cdelsignore,SixDegree,2025-05-06 09:52:19,PRO165SV-E1,512629-01
cdelsignore,SixDegree,2025-05-06 09:55:04,PRO165SV-E1,512629-01
atempalski,SixDegree,2025-05-06 13:25:07,ANT130LZS-060,513070-02
atempalski,SixDegree,2025-05-12 10:39:08,ANT95L-075-ES20094,510680-01
atempalski,Accuracy,2025-05-12 11:06:44,ANT95L-075-ES20094,510680-01
atempalski,SixDegree,2025-05-12 11:13:29,ANT95L-075-ES20094,510680-01
bmowry,Accuracy,2025-05-14 09:49:13,HEX150-125HL Strut,517061-01
bmowry,Accuracy,2025-05-14 10:34:26,HEX150-125HL Strut,517061-02
bmowry,Accuracy,2025-05-14 13:54:13,HEX150-125HL Strut,517061-04
bmowry,Accuracy,2025-05-15 11:32:43,HEX150-125HL,517061-02
cdelsignore,SixDegree,2025-05-15 14:56:07,ANT130LZS-060-E1,519425-03
cdelsignore,SixDegree,2025-05-16 11:28:51,ANT130XY-160-E1 (Lower),520026-01
atempalski,SixDegree,2025-05-22 07:20:12,PRO225LM-0415-ES17293-4,513346-02
atempalski,SixDegree,2025-05-22 07:28:16,PRO225LM-0415-ES17293-4,513346-02
atempalski,Accuracy,2025-05-22 08:01:55,PRO165LM-0300-ES17293-1,513079-01
atempalski,SixDegree,2025-05-27 13:44:31,PRO225LM-0415-ES17293-4,513348-02
atempalski,SixDegree,2025-05-28 07:27:59,PRO165LM-0300-ES17293-1,513080-02
atempalski,SixDegree,2025-05-28 07:33:27,PRO165LM-0300-ES17293-1,513080-02
atempalski,SixDegree,2025-05-28 07:37:23,PRO165LM-0300-ES17293-1,513080-02
atempalski,SixDegree,2025-05-28 07:44:42,PRO165LM-0300-ES17293-1,513080-02
atempalski,SixDegree,2025-05-28 08:00:56,PRO165LM-0300-ES17293-1,513080-02
atempalski,SixDegree,2025-05-28 08:18:18,PRO165LM-0300-ES17293-1,513080-02
atempalski,SixDegree,2025-05-28 08:19:54,PRO165LM-0300-ES17293-1,513080-02
atempalski,SixDegree,2025-05-28 08:32:12,PRO165LM-0300-ES17293-1,513080-02
atempalski,SixDegree,2025-05-28 08:39:59,PRO165LM-0300-ES17293-1,513080-02
