Created Date Time,Last Update Date Time,Test Name,Application Name,Application Version,Library Version,Sales Order Number,System Serial Number,Control Group Number,Axis Identifier,Custom Identifier,Model Number,Controller Family,Board Type,Hardware Revision,Peak Current,Firmware Version,Part Number,Counts Per Unit,Feedback Type,Multiplication Factor,Backlash,Home Offset,Home Direction,Motion Direction,User Units,Error Units,Step Size,Test Length,Calibration Status,Total Accuracy,Forward Accuracy,Reverse Accuracy,Average Accuracy,Repeatability,Forward Repeatability,Reverse Repeatability,Average Repeatability,Mean Reversal Error,Total Tilt Error Motion,Synchronous Tilt Error Motion,Asynchronous Tilt Error Motion,Master Axis Start Position,Average Air Temperature,Minimum Air Temperature,Maximum Air Temperature,Air Temperature Units,Testing Standards,Measurement Equipment Ids,Iterations,Is Bidirectional,Test Date Time,Aborted,User Name,Motion Option,Comment,Is Final Test,Is Verification,Is Pilgrim,Stage Serial Number,Yaw Total Accuracy,Yaw Forward Accuracy,Yaw Reverse Accuracy,Yaw Average Accuracy,Yaw Repeatability,Yaw Forward Repeatability,Yaw Reverse Repeatability,Yaw Average Repeatability,Yaw Mean Reversal Error,Pitch Total Accuracy,Pitch Forward Accuracy,Pitch Reverse Accuracy,Pitch Average Accuracy,Pitch Repeatability,Pitch Forward Repeatability,Pitch Reverse Repeatability,Pitch Average Repeatability,Pitch Mean Reversal Error,Average Material Temperature,Average Atmospheric Pressure,Average Humidity,Optics Location,Test Payload,Test Orientation,Roll Total Accuracy,Roll Forward Accuracy,Roll Reverse Accuracy,Roll Average Accuracy,Roll Repeatability,Roll Forward Repeatability,Roll Reverse Repeatability,Roll Average Repeatability,Roll Mean Reversal Error

4/8/2025 15:20,4/8/2025 15:20,Accuracy,Linear Calibrator,3.15.2.1,6.4.9.8,639398,1,1,X,,PRO225LM,A3200,XC4,-,20,6.4.9.8,ES19347-01 (AGS10000),500000,Encoder Multiplier,10000,0,39.6805,W,-1,mm,Micron,10,130,TRUE,10.406,,,,0.003,,,,,,,,,22.217,,,C,Aerotech,4128,1,TRUE,4/8/2025 15:18,Stopped,gschliffka,Direct,,,FALSE,FALSE,495566-01,,,,,,,,,,,,,,,,,,,22.294,735.183,19.584,Per Approval DWG,Y Axis + 8 kg,LowerAxis,,,,,,,,,
4/8/2025 15:23,4/8/2025 15:23,Accuracy,Linear Calibrator,3.15.2.1,6.4.9.8,639398,1,1,X,,PRO225LM,A3200,XC4,-,20,6.4.9.8,ES19347-01 (AGS10000),500000,Encoder Multiplier,10000,0,39.6805,W,-1,mm,Micron,10,130,TRUE,10.406,,,,0.003,,,,,,,,,22.217,,,C,Aerotech,4128,1,TRUE,4/8/2025 15:22,Stopped,gschliffka,Direct,,,FALSE,FALSE,495566-01,,,,,,,,,,,,,,,,,,,22.294,735.183,19.584,Per Approval DWG,Y Axis + 8 kg,LowerAxis,,,,,,,,,
4/15/2025 11:01,4/15/2025 11:01,SixDegree,Linear Calibrator 6D,2.16.0.0,6.4.9.8,642730,1,1,YY,,ANT130L,A3200,XC4e,-,20,6.4.9.8,ANT130L-035-E1,800000,Encoder Multiplier,16000,0,-0.45,C,1,mm,UmAsec,5,35,FALSE,,,,,,,,,,,,,,0,,,C,Aerotech,5397,1,TRUE,4/15/2025 11:01,Stopped,cdelsignore,Direct,,,FALSE,TRUE,510865-01,,,,,,,,,,,,,,,,,,,0,0,0,Center of TT,7 kg,SingleAxis,,,,,,,,,
4/15/2025 11:06,4/15/2025 11:06,SixDegree,Linear Calibrator 6D,2.16.0.0,6.4.9.8,642730,1,1,YY,,ANT130L,A3200,XC4e,-,20,6.4.9.8,ANT130L-035-E1,800000,Encoder Multiplier,16000,0,-0.45,C,1,mm,UmAsec,5,35,FALSE,0.598,,,,0.165,,,,,,,,,20.859,,,C,Aerotech,5397,1,TRUE,4/15/2025 11:05,Errored,cdelsignore,Direct,,,FALSE,TRUE,510865-01,1.827,,,,0.196,,,,,0.435,,,,0.341,,,,,20.93,726.362,38.112,Center of TT,7 kg,SingleAxis,0.64,,,,0.149,,,,
4/15/2025 13:57,4/15/2025 13:57,Accuracy,Linear Calibrator,3.15.2.1,6.4.9.8,642521,1,1,X,,PRO225LM,A3200,XC4,-,20,6.4.9.8,ES19347-1 (AGS10000),500000,Encoder Multiplier,10000,0,40.97295,W,-1,mm,Micron,10,130,TRUE,0.533,,,,0.27,,,,,,,,,21.933,,,C,Aerotech,2435,1,TRUE,4/15/2025 13:57,Stopped,mtrozzi,Direct,Y Axis @ 268.4mm,,FALSE,FALSE,508843-01,,,,,,,,,,,,,,,,,,,22.136,725.747,32.288,Per Approval Dwg,Y Axis + 8Kg,LowerAxis,,,,,,,,,
4/15/2025 14:55,4/15/2025 14:55,Accuracy,Linear Calibrator,3.15.2.1,6.4.9.8,642521,1,1,X,,PRO225LM,A3200,XC4,-,20,6.4.9.8,ES19347-1 (AGS10000),500000,Encoder Multiplier,10000,0,40.97295,W,-1,mm,Micron,10,130,TRUE,0.788,,,,0.135,,,,,,,,,21.955,,,C,Aerotech,2435,1,TRUE,4/15/2025 14:55,Stopped,mtrozzi,Direct,Y Axis @ 538.4mm,,FALSE,FALSE,508843-01,,,,,,,,,,,,,,,,,,,22.18,726.175,32.849,Per Approval Dwg,Y Axis + 8Kg,LowerAxis,,,,,,,,,
4/16/2025 15:21,4/16/2025 15:21,SixDegree,Linear Calibrator 6D,2.16.0.0,2.10.0,643603,1,1,Z,,ANT130LZ,Automation1,49185,-,10,2.10.0.2427,ANT130LZ-060-E1,1000000,Incremental Encoder Sine Wave,20000,0,-30.49601,C,-1,mm,UmAsec,2.5,60,FALSE,,,,,,,,,,,,,,0,,,C,Aerotech,5397,1,FALSE,4/16/2025 15:21,Stopped,cdelsignore,Direct,,,FALSE,FALSE,513951-04,,,,,,,,,,,,,,,,,,,0,0,0,Centered 50 mm above TT,4 kg,Vertical,,,,,,,,,
4/16/2025 15:23,4/16/2025 15:23,SixDegree,Linear Calibrator 6D,2.16.0.0,2.10.0,643603,1,1,Z,,ANT130LZ,Automation1,49185,-,10,2.10.0.2427,ANT130LZ-060-E1,1000000,Incremental Encoder Sine Wave,20000,0,-30.49601,C,-1,mm,UmAsec,2.5,60,FALSE,,,,,,,,,,,,,,0,,,C,Aerotech,5397,1,FALSE,4/16/2025 15:22,Stopped,cdelsignore,Direct,,,FALSE,FALSE,513951-04,,,,,,,,,,,,,,,,,,,0,0,0,Centered 50 mm above TT,4 kg,Vertical,,,,,,,,,
4/24/2025 11:06,4/24/2025 11:06,SixDegree,Linear Calibrator 6D,2.16.0.0,2.10.0,643446,1,1,Y,,ANT95LZ,Automation1,49198,-,10,2.10.0.2427,ANT95LZ-025-E1,200000,Incremental Encoder Sine Wave,4000,0,0.05485,W,1,mm,UmAsec,2.5,25,FALSE,,,,,,,,,,,,,,0,,,C,Aerotech,5397,1,FALSE,4/24/2025 11:06,Stopped,cdelsignore,Direct,,,FALSE,FALSE,486721-01,,,,,,,,,,,,,,,,,,,0,0,0,Center of TT,C-Axis + 200 grams ,Vertical,,,,,,,,,
4/24/2025 11:10,4/24/2025 11:10,SixDegree,Linear Calibrator 6D,2.16.0.0,2.10.0,643446,1,1,Y,,ANT95LZ,Automation1,49198,-,10,2.10.0.2427,ANT95LZ-025-E1,200000,Incremental Encoder Sine Wave,4000,0,0.05485,W,1,mm,UmAsec,2.5,25,FALSE,4.635,,,,,,,,,,,,,20.711,,,C,Aerotech,5397,1,FALSE,4/24/2025 11:09,Errored,cdelsignore,Direct,,,FALSE,FALSE,486721-01,5.483,,,,,,,,,6.765,,,,,,,,,20.805,740.613,48.223,Center of TT,C-Axis + 200 grams ,Vertical,1.827,,,,,,,,
4/28/2025 8:39,4/28/2025 8:39,SixDegree,Linear Calibrator 6D,2.16.0.0,2.10.0,643446,1,1,Y,,ANT95LZ,Automation1,,,,2.10.0.2427,ANT95LZ-025-E1,200000,,,0,0.05485,W,1,mm,UmAsec,5,25,FALSE,9.312,,,,0.198,,,,,,,,,20.398,,,C,Aerotech,5397,1,TRUE,4/28/2025 8:39,Errored,cdelsignore,Direct,,,FALSE,FALSE,486721-01,6.482,,,,0.234,,,,,14.791,,,,0.565,,,,,20.609,743.313,36.136,Center of TT,C-Axis + 200 grams ,Vertical,1.016,,,,0.202,,,,
4/28/2025 8:43,4/28/2025 8:43,Accuracy,Linear Calibrator 6D,2.16.0.0,2.10.0,643446,1,1,Y,,ANT95LZ,Automation1,,,,2.10.0.2427,ANT95LZ-025-E1,200000,,,0,0.05485,W,1,mm,UmAsec,5,25,FALSE,9.35,,,,0.242,,,,,,,,,20.609,,,C,Aerotech,5397,1,TRUE,4/28/2025 8:42,Errored,cdelsignore,Direct,,,FALSE,FALSE,486721-01,6.596,,,,0.297,,,,,15.273,,,,0.823,,,,,20.641,743.463,35.959,Center of TT,C-Axis + 200 grams ,Vertical,2.976,,,,1.896,,,,
4/28/2025 8:56,4/28/2025 8:56,SixDegree,Linear Calibrator 6D,2.16.0.0,2.10.0,643446,1,1,Y,,ANT95LZ,Automation1,49198,-,10,2.10.0.2427,ANT95LZ-025-E1,200000,Incremental Encoder Sine Wave,4000,0,0.05485,W,1,mm,UmAsec,5,25,FALSE,2.362,,,,0.052,,,,,,,,,20.695,,,C,Aerotech,5397,1,TRUE,4/28/2025 8:54,Errored,cdelsignore,Direct,,,FALSE,TRUE,486721-01,4.455,,,,0.051,,,,,5.959,,,,0.333,,,,,20.703,743.463,35.881,Center of TT,C-Axis + 200 grams  ,Vertical,1.915,,,,0.205,,,,
5/2/2025 11:11,5/2/2025 11:11,SixDegree,Linear Calibrator 6D,2.16.0.0,6.4.9.8,642925,1,1,X,,PRO225LM,A3200,XR3 XSP3,-,20,6.4.9.8,PRO225LM-0500-E1,1000000,Encoder Multiplier,20000,0,-1.681,W,-1,mm,UmAsec,5,500,TRUE,,,,,,,,,,,,,,0,,,C,Aerotech,5397,1,FALSE,5/2/2025 11:10,Stopped,cdelsignore,Direct,,,FALSE,FALSE,512627-01,,,,,,,,,,,,,,,,,,,0,0,0,50 mm above Z TT,Y+Z+5 kg,LowerAxis,,,,,,,,,
